0912000000	0913000000	0914000000	0915000000	0916000000	0917000000	0918000000	
0912005500	0913005500	0914005500	0915005500	0916005500	0917005500	0918005500	
0912014410	0913014410	0914014410	0915014410	0916014410	0917014410	0918014410	
0912019910	0913019910	0914019910	0915019910	0916019910	0917019910	0918019910	
0912023320	0913023320	0914023320	0915023320	0916023320	0917023320	0918023320	
0912028820	0913028820	0914028820	0915028820	0916028820	0917028820	0918028820	
0912032230	0913032230	0914032230	0915032230	0916032230	0917032230	0918032230	
0912037730	0913037730	0914037730	0915037730	0916037730	0917037730	0918037730	
0912041140	0913041140	0914041140	0915041140	0916041140	0917041140	0918041140	
0912046640	0913046640	0914046640	0915046640	0916046640	0917046640	0918046640	
0912050050	0913050050	0914050050	0915050050	0916050050	0917050050	0918050050	
0912055550	0913055550	0914055550	0915055550	0916055550	0917055550	0918055550	
0912064460	0913064460	0914064460	0915064460	0916064460	0917064460	0918064460	
0912069960	0913069960	0914069960	0915069960	0916069960	0917069960	0918069960	
0912073370	0913073370	0914073370	0915073370	0916073370	0917073370	0918073370	
0912078870	0913078870	0914078870	0915078870	0916078870	0917078870	0918078870	
0912082280	0913082280	0914082280	0915082280	0916082280	0917082280	0918082280	
0912087780	0913087780	0914087780	0915087780	0916087780	0917087780	0918087780	
0912091190	0913091190	0914091190	0915091190	0916091190	0917091190	0918091190	
0912096690	0913096690	0914096690	0915096690	0916096690	0917096690	0918096690	
0912104401	0913104401	0914104401	0915104401	0916104401	0917104401	0918104401	
0912109901	0913109901	0914109901	0915109901	0916109901	0917109901	0918109901	
0912140041	0913140041	0914140041	0915140041	0916140041	0917140041	0918140041	
0912190091	0913190091	0914190091	0915190091	0916190091	0917190091	0918190091	
0912203302	0913203302	0914203302	0915203302	0916203302	0917203302	0918203302	
0912208802	0913208802	0914208802	0915208802	0916208802	0917208802	0918208802	
0912230032	0913230032	0914230032	0915230032	0916230032	0917230032	0918230032	
0912280082	0913280082	0914280082	0915280082	0916280082	0917280082	0918280082	
0912302203	0913302203	0914302203	0915302203	0916302203	0917302203	0918302203	
0912307703	0913307703	0914307703	0915307703	0916307703	0917307703	0918307703	
0912320023	0913320023	0914320023	0915320023	0916320023	0917320023	0918320023	
0912370073	0913370073	0914370073	0915370073	0916370073	0917370073	0918370073	
0912401104	0913401104	0914401104	0915401104	0916401104	0917401104	0918401104	
0912406604	0913406604	0914406604	0915406604	0916406604	0917406604	0918406604	
0912410014	0913410014	0914410014	0915410014	0916410014	0917410014	0918410014	
0912460064	0913460064	0914460064	0915460064	0916460064	0917460064	0918460064	
0912500005	0913500005	0914500005	0915500005	0916500005	0917500005	0918500005	
0912505505	0913505505	0914505505	0915505505	0916505505	0917505505	0918505505	
0912550055	0913550055	0914550055	0915550055	0916550055	0917550055	0918550055	
0912604406	0913604406	0914604406	0915604406	0916604406	0917604406	0918604406	
0912609906	0913609906	0914609906	0915609906	0916609906	0917609906	0918609906	
0912640046	0913640046	0914640046	0915640046	0916640046	0917640046	0918640046	
0912690096	0913690096	0914690096	0915690096	0916690096	0917690096	0918690096	
0912703307	0913703307	0914703307	0915703307	0916703307	0917703307	0918703307	
0912708807	0913708807	0914708807	0915708807	0916708807	0917708807	0918708807	
0912730037	0913730037	0914730037	0915730037	0916730037	0917730037	0918730037	
0912780087	0913780087	0914780087	0915780087	0916780087	0917780087	0918780087	
0912802208	0913802208	0914802208	0915802208	0916802208	0917802208	0918802208	
0912807708	0913807708	0914807708	0915807708	0916807708	0917807708	0918807708	
0912820028	0913820028	0914820028	0915820028	0916820028	0917820028	0918820028	
0912870078	0913870078	0914870078	0915870078	0916870078	0917870078	0918870078	
0912901109	0913901109	0914901109	0915901109	0916901109	0917901109	0918901109	
0912906609	0913906609	0914906609	0915906609	0916906609	0917906609	0918906609	
0912910019	0913910019	0914910019	0915910019	0916910019	0917910019	0918910019	
0912960069	0913960069	0914960069	0915960069	0916960069	0917960069	0918960069	
